"","ID","Lie_Freq","Lie_Ability","Lie_Neg","Lie_Content","Lie_TotalAvg"
"1",1,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463
"2",2,-0.0837509785643431,-1.20194099171887,-1.01653482522917,-1.67758379958503,-0.994952648774353
"3",3,2.67635229991524,0.645573729598412,-0.190852915097921,0.532323013858614,0.915849032068585
"4",4,2.50983744867388,-1.59164353444852,-0.714069766004841,-2.16432568472621,-0.490050384126421
"5",5,2.91738294508451,0.175159681922156,-0.426702148898221,-0.00814004755052966,0.664425107639479
"6",6,-2.30547232616678,-4.84461020400571,2.42521135978526,-0.690523788604,-1.35384873974781
"7",7,1.01044359114637,-1.49378466855711,-0.675813426123858,-1.84422863227441,-0.750845783952254
"8",8,-1.76599759038507,-2.23937869059939,0.513584568256907,-1.36966191920105,-1.21536340798215
"9",9,2.72982789308924,0.671164512691619,-1.59422122545736,-1.74342669556736,0.0158361211890349
"10",10,0.804534438037375,-0.938252427424864,0.675806462891826,-0.17900045437327,0.0907720047827669
"11",11,2.36302246654717,0.173134183498955,-2.317005967671,-0.69969725811986,-0.120136643936184
"12",12,2.44439646463129,0.970571703508521,-0.314780335289352,0.309302607355795,0.852372610051564
"13",13,0.5694705489063,-0.00129137634917419,-1.52146014399495,-0.305859323835571,-0.31478507381835
"14",14,3.71570368870141,1.65031902240126,-3.5061046879828,-1.38002041479064,0.119974402082308
"15",15,1.16353168759137,-0.416652182813881,-1.18023715927494,-1.50496537755314,-0.484580758012647
"16",16,2.40043410999307,-2.14366291464037,-0.965676983738047,-1.52449365268676,-0.558349860268026
"17",17,1.09959641161804,-1.6831145538002,0.179466717569163,-1.54817799930243,-0.488057355978857
"18",18,3.8443426422075,-0.577995056576265,-1.89328359400628,-0.00561382097025387,0.341862542663677
"19",19,4.29776602596516,0.107662218553754,-2.24780861110124,-1.14094781164977,0.254167955441975
"20",20,1.33334113173521,-2.97279394219104,-0.23391041962093,-0.921026062098686,-0.698597323043863
"21",21,4.15077630058489,2.40708145022892,-2.3924518559241,0.717420803845795,1.22070667468387
"22",22,1.38440927401803,3.23041137578463,-0.0175671704199432,-1.08567796892701,0.877893877613928
"23",23,0.464025829228065,0.657384678411267,0.16358400592332,-1.20865642211917,0.0190845228608717
"24",24,-0.708415775251232,-1.93138557866227,1.33141163779313,-0.495966451427653,-0.451089041887008
"25",25,0.871077330991283,-1.75206614437517,-1.0676228459504,-1.61655039391226,-0.891290513311636
"26",26,-2.29549969362428,-4.69585432441006,0.0436584083601419,-1.85489907209848,-2.20064867044317
"27",27,-2.48664369294389,-2.95010213539669,1.50791931217905,-0.608460510192855,-1.13432175658859
"28",28,-3.03780896072818,-4.73498498056593,1.59564424805441,1.41197657861588,-1.19129327865595
"29",29,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097
"30",30,3.05759037751246,-0.0981456644950388,0.665779329798346,-0.45607749402103,0.792286637198683
