"ID","HCT_confidence","HCT_accuracy","HCT_awareness","HCT_guess","HCT_noguess","HCT_onebreath"
1,0.360740740740741,0.75130691069389,-0.775236333122807,69,6,48
2,0.170740740740741,0.657568185846362,0.80245743497113,46,24,18
3,0,0.744511285450619,NA,43,18,21
4,0.753333333333333,0.473442879499217,0.821287976033798,101,77,60
5,0.583333333333333,0.606780500898148,-0.103364366783785,15,12,8
6,0.8881481484,0.0682295482295483,-0.689989743878782,25,21,60
7,0.57537037037037,0.737231041381985,0.132712475838818,23,47,59
8,0.243148148148148,0.688923409239822,-0.280400059371742,17,4,7
9,0.5537037036,0.647548699845235,-0.561997952288454,0,0,2
10,0.6681481484,0.594465645815997,-0.634336699956734,3,0,15
11,0.5314814816,0.584937304075235,-0.482140891704157,36,27,14
12,0.865,0.87810011762049,0.460693339364094,48,41,50
13,0.1042592592,0.178853926561244,0.878798522418724,9,0,0
14,0.130925925925926,0.767302931449273,-0.841368912664341,43,2,34
15,0.813148148148148,0.737970881577439,-0.0546993293893305,33,29,27
16,0.646111111111111,0.807801834702839,-0.318966232100844,55,14,61
17,0.253703703703704,0.525614151055054,-0.529509603748237,28,10,32
18,0.43037037037037,0.599360089720055,0.445086562945105,29,16,17
19,0,0.702299617966693,NA,25,23,12
20,0.4018518518,0.768574437398117,0.727562050894115,64,49,55
21,0.168888888888889,0.759514216060185,0.438574898677612,58,12,25
22,0.773518518518518,0.755684975997719,-0.697478960932275,87,68,30
23,0,0.642883224731207,NA,21,9,5
24,0.106666666666666,0.428894781868239,0.634236619774877,39,5,7
25,0.673888888888889,0.394441619731424,-0.519493655947889,27,14,30
26,0.747962962962963,0.773290042443327,0.786176146390982,44,34,23
27,0.175925926,0.207884156615451,0.50513851788847,31,1,0
28,0.571111111,0.76889626627067,-0.761611290286744,72,0,6
29,0.867407407407407,0.799231950844854,-0.189817907526613,60,33,12
30,0.824814814814815,0.598052176445958,-0.396850557526284,62,23,6
