"","ID","HCT_guess","HCT_noguess","HCT_onebreath"
"1",1,69,0,0
"2",1,0,6,0
"3",1,0,0,48
"4",2,46,0,0
"5",2,0,24,0
"6",2,0,0,18
"7",3,43,0,0
"8",3,0,18,0
"9",3,0,0,21
"10",4,101,0,0
"11",4,0,77,0
"12",4,0,0,60
"13",5,15,0,0
"14",5,0,12,0
"15",5,0,0,8
"16",6,25,0,0
"17",6,0,21,0
"18",6,0,0,60
"19",7,23,0,0
"20",7,0,47,0
"21",7,0,0,59
"22",8,17,0,0
"23",8,0,4,0
"24",8,0,0,7
"25",9,0,0,0
"26",9,0,0,0
"27",9,0,0,2
"28",10,3,0,0
"29",10,0,0,0
"30",10,0,0,15
"31",11,36,0,0
"32",11,0,27,0
"33",11,0,0,14
"34",12,48,0,0
"35",12,0,41,0
"36",12,0,0,50
"37",13,9,0,0
"38",13,0,0,0
"39",13,0,0,0
"40",14,43,0,0
"41",14,0,2,0
"42",14,0,0,34
"43",15,33,0,0
"44",15,0,29,0
"45",15,0,0,27
"46",16,55,0,0
"47",16,0,14,0
"48",16,0,0,61
"49",17,28,0,0
"50",17,0,10,0
"51",17,0,0,32
"52",18,29,0,0
"53",18,0,16,0
"54",18,0,0,17
"55",19,25,0,0
"56",19,0,23,0
"57",19,0,0,12
"58",20,64,0,0
"59",20,0,49,0
"60",20,0,0,55
"61",21,58,0,0
"62",21,0,12,0
"63",21,0,0,25
"64",22,87,0,0
"65",22,0,68,0
"66",22,0,0,30
"67",23,21,0,0
"68",23,0,9,0
"69",23,0,0,5
"70",24,39,0,0
"71",24,0,5,0
"72",24,0,0,7
"73",25,27,0,0
"74",25,0,14,0
"75",25,0,0,30
"76",26,44,0,0
"77",26,0,34,0
"78",26,0,0,23
"79",27,31,0,0
"80",27,0,1,0
"81",27,0,0,0
"82",28,72,0,0
"83",28,0,0,0
"84",28,0,0,6
"85",29,60,0,0
"86",29,0,33,0
"87",29,0,0,12
"88",30,62,0,0
"89",30,0,23,0
"90",30,0,0,6
