"","ID","MAIA1","MAIA2","MAIA3","MAIA4","MAIA5","MAIA6","MAIA7","MAIA8","MAIA_Total"
"1","001",2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,2.51577380952381
"2","002",2,0.166666666666667,3.8,1.28571428571429,4.2,2,0.333333333333333,4,2.22321428571429
"3","003",3,1.83333333333333,2,3.14285714285714,3.8,3.75,3.33333333333333,4,3.10744047619048
"4","004",4,1.5,3,4.14285714285714,3.6,3.75,2.33333333333333,3,3.16577380952381
"5","005",3.25,1,2,2.85714285714286,3.4,3.25,4,4,2.96964285714286
"6","006",3.75,0.166666666666667,0.6,3.57142857142857,4.8,3.5,5,4.33333333333333,3.21517857142857
"7","007",2.5,2,2.2,2.57142857142857,2.2,3,2,2.66666666666667,2.3922619047619
"8","008",2.5,0.333333333333333,3,4.14285714285714,4.4,4,3.66666666666667,5,3.38035714285714
"9","009",3.25,3.66666666666667,1.6,3.57142857142857,4,2.75,1.33333333333333,3.33333333333333,2.93809523809524
"10","010",3.25,1,2.8,4,4,4,4,4,3.38125
"11","011",2.25,2.66666666666667,2.2,2.28571428571429,2.6,2.5,1.33333333333333,1.66666666666667,2.18779761904762
"12","012",3,2,1.8,2.85714285714286,3.8,3.75,3.33333333333333,3.66666666666667,3.02589285714286
"13","013",2.25,1.83333333333333,1.4,1.85714285714286,2.6,2,2,2,1.99255952380952
"14","014",3.25,1.5,1.4,2.28571428571429,3.4,2,1.66666666666667,2,2.18779761904762
"15","015",3,2.33333333333333,2,3.71428571428571,3.8,3.5,3.66666666666667,5,3.37678571428571
"16","016",3.25,2.16666666666667,1.4,2.71428571428571,2.6,3.25,2.33333333333333,3,2.58928571428571
"17","017",2.25,1.16666666666667,1.4,1.14285714285714,2.4,1.5,2.66666666666667,3.66666666666667,2.02410714285714
"18","018",0.75,1.16666666666667,1.4,1.14285714285714,3.2,2.25,1.33333333333333,3.33333333333333,1.82202380952381
"19","019",3.5,2,1.4,3.14285714285714,4,3.25,2.66666666666667,4,2.99494047619048
"20","020",3,2.5,2.4,2.28571428571429,2,2.25,1,3.66666666666667,2.38779761904762
"21","021",2.5,1.5,1.2,0.714285714285714,1.4,1.75,2.66666666666667,2,1.71636904761905
"22","022",4.25,3,2.2,2.57142857142857,2.8,1.75,3.33333333333333,4,2.98809523809524
"23","023",3,1.83333333333333,2,2.42857142857143,4,2.5,1.33333333333333,0.333333333333333,2.17857142857143
"24","024",3,1.5,2.6,2.71428571428571,3.2,2.5,1,1.66666666666667,2.27261904761905
"25","025",2.5,2,2.8,3.14285714285714,3.2,2.75,3,4,2.92410714285714
"26","026",3.5,1.66666666666667,3.2,3.85714285714286,3.6,3.5,2,3.66666666666667,3.12380952380952
"27","027",3.25,1.16666666666667,1.4,2.42857142857143,3.6,1.75,1.66666666666667,3,2.28273809523809
"28","028",3.5,0.333333333333333,3,2.14285714285714,3.4,3.5,3,4,2.85952380952381
"29","029",3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,3.12202380952381
"30","030",4,3.5,3.4,3.57142857142857,4,4.25,4,4.33333333333333,3.88184523809524
